student_id,age,gender,attendance_rate,previous_grade,distance_to_school,parent_education,household_income,dropout
STU0000,14,male,82.45,B,4.56,secondary,high,1
STU0001,15,female,72.93,A,6.16,secondary,low,0
STU0002,14,male,68.05,C,3.72,primary,low,1
STU0003,14,female,68.01,C,2.28,primary,medium,0
STU0004,15,female,66.83,A,0.93,secondary,high,0
STU0005,15,male,76.66,C,0.51,primary,high,0
STU0006,15,female,69.2,C,7.04,none,low,1
STU0007,17,male,57.62,B,2.99,secondary,medium,0
STU0008,16,male,78.95,C,16.8,secondary,low,1
STU0009,14,male,99.63,B,2.75,none,medium,1
STU0010,15,female,88.41,A,2.22,none,low,0
STU0011,17,male,86.32,C,5.53,primary,medium,0
STU0012,14,male,79.9,B,6.4,secondary,medium,1
STU0013,12,female,73.78,B,2.89,none,medium,0
STU0014,14,male,63.27,B,3.88,secondary,low,0
STU0015,15,female,81.36,C,8.25,higher,low,0
STU0016,12,male,76.46,B,11.32,secondary,medium,1
STU0017,12,female,89.53,A,9.86,secondary,low,0
STU0018,12,female,69.86,C,1.95,higher,high,0
STU0019,12,female,62.97,C,1.45,higher,low,1
STU0020,13,male,75.9,F,1.63,none,medium,1
STU0021,14,male,100.0,C,1.39,higher,medium,0
STU0022,15,male,96.04,A,3.84,secondary,low,0
STU0023,14,male,53.97,C,4.47,none,low,1
STU0024,15,male,59.07,F,2.44,secondary,low,1
STU0025,13,female,82.1,B,10.49,higher,medium,0
STU0026,12,male,50.89,F,11.38,none,low,1
STU0027,15,male,77.77,D,11.37,secondary,high,0
STU0028,13,female,84.8,F,2.33,secondary,low,0
STU0029,15,male,91.54,F,2.97,primary,medium,1
STU0030,14,male,68.06,B,6.38,secondary,medium,0
STU0031,14,male,58.31,F,4.46,primary,medium,1
STU0032,14,female,100.0,C,1.09,primary,medium,0
STU0033,14,female,76.41,F,14.11,none,low,1
STU0034,16,female,73.14,D,16.57,higher,high,1
STU0035,13,male,86.11,C,0.93,primary,medium,0
STU0036,12,female,78.46,C,0.75,higher,medium,0
STU0037,14,female,62.87,B,2.23,secondary,high,0
STU0038,17,female,75.36,C,8.0,secondary,high,0
STU0039,14,male,88.08,C,4.32,none,low,0
STU0040,16,female,68.81,C,1.81,none,low,1
STU0041,14,male,83.93,A,0.45,secondary,low,0
STU0042,12,female,55.38,B,1.44,secondary,medium,1
STU0043,12,female,45.14,B,0.85,none,high,1
STU0044,13,female,79.07,C,2.86,secondary,low,1
STU0045,17,female,100.0,A,2.09,none,high,1
STU0046,17,male,85.49,C,3.12,primary,high,1
STU0047,16,male,84.0,F,0.08,primary,low,0
STU0048,13,male,77.99,F,4.41,none,medium,1
STU0049,12,female,66.0,F,3.94,primary,high,1
STU0050,13,male,79.21,D,1.92,none,low,1
STU0051,15,male,65.66,C,5.97,none,high,0
STU0052,13,male,62.57,F,8.22,secondary,medium,1
STU0053,16,male,66.6,D,13.35,primary,medium,1
STU0054,12,male,94.58,B,11.29,primary,low,1
STU0055,16,male,75.32,F,14.98,primary,low,1
STU0056,13,female,93.07,D,7.84,secondary,low,1
STU0057,13,male,57.05,D,2.91,secondary,low,1
STU0058,13,male,84.21,C,0.44,none,medium,1
STU0059,12,female,95.37,F,0.44,none,high,1
STU0060,13,male,65.04,C,7.51,none,low,1
STU0061,15,female,95.4,C,0.06,primary,low,1
STU0062,12,female,94.07,B,16.37,secondary,medium,1
STU0063,17,male,86.56,C,19.06,secondary,high,1
STU0064,12,male,76.47,C,3.7,higher,medium,0
STU0065,17,female,63.4,F,6.68,primary,low,0
STU0066,16,male,60.19,B,2.46,secondary,low,1
STU0067,16,female,67.63,B,0.16,primary,low,0
STU0068,14,male,73.16,A,12.58,secondary,low,0
STU0069,14,male,84.73,C,7.52,primary,medium,0
STU0070,16,female,92.3,A,0.33,secondary,low,1
STU0071,16,male,69.37,C,3.82,secondary,high,0
STU0072,17,male,68.25,F,0.69,primary,medium,0
STU0073,13,female,84.34,A,2.22,secondary,medium,0
STU0074,16,male,92.69,D,4.12,secondary,medium,1
STU0075,13,female,76.01,C,11.67,secondary,medium,0
STU0076,17,male,61.97,C,3.96,secondary,medium,0
STU0077,12,female,76.75,C,7.96,secondary,low,0
STU0078,12,male,76.92,C,1.17,primary,low,0
STU0079,12,male,67.78,C,0.75,none,high,1
STU0080,13,male,82.02,D,1.27,secondary,low,1
STU0081,12,female,75.23,B,3.82,secondary,low,0
STU0082,16,male,65.62,C,5.82,primary,low,1
STU0083,17,female,70.9,B,6.9,secondary,medium,1
STU0084,17,male,65.6,B,0.19,secondary,medium,0
STU0085,12,male,42.12,C,2.97,none,low,1
STU0086,14,male,65.3,C,11.06,none,medium,1
STU0087,12,female,58.78,C,3.85,none,low,0
STU0088,16,male,61.87,B,4.23,secondary,low,0
STU0089,14,female,54.26,B,0.83,none,low,1
STU0090,15,male,75.73,A,20.19,primary,high,1
STU0091,12,female,62.54,B,1.49,secondary,medium,0
STU0092,12,female,49.96,B,1.04,secondary,low,0
STU0093,14,male,83.15,B,4.72,none,medium,0
STU0094,16,female,65.22,A,0.72,primary,high,0
STU0095,17,male,75.71,D,5.72,primary,medium,0
STU0096,12,female,66.6,B,23.51,higher,medium,1
